datetime,implied_volatility
2022-09-20,71.09533105904666
2022-09-21,76.31700582859685
2022-09-22,77.01695722607121
2022-09-23,75.23996892956495
2022-09-24,74.66009132377405
2022-09-25,73.51742891105792
2022-09-26,76.27453285580741
2022-09-27,76.8750486680832
2022-09-28,77.20154184814197
2022-09-29,79.60167763110918
2022-09-30,77.65921701268348
2022-10-01,74.19811068252993
2022-10-02,73.3143448642552
2022-10-03,77.52711105925077
2022-10-04,70.65841434891496
2022-10-05,71.72180278509782
2022-10-06,72.19460420649348
2022-10-07,70.75421113933615
2022-10-08,67.5613856422804
2022-10-09,66.06974898414603
2022-10-10,68.83986199170361
2022-10-11,70.4953530085598
2022-10-12,72.04825282341105
2022-10-13,71.69993406724491
2022-10-14,67.42363452509817
2022-10-15,64.53007929294895
2022-10-16,64.3234690864183
2022-10-17,64.55097086442082
2022-10-18,62.67202026648601
2022-10-19,63.7482040213191
2022-10-20,63.33432623240414
2022-10-21,63.1642853580053
2022-10-22,64.11435459847222
2022-10-23,64.20323196981575
2022-10-24,65.96269282066226
2022-10-25,66.3998998265073
2022-10-26,67.94542213020634
2022-10-27,68.24288734654516
2022-10-28,63.52232799343091
2022-10-29,56.95512822730784
2022-10-30,59.31637099094964
2022-10-31,61.74230566225035
2022-11-01,60.49336373836004
2022-11-02,61.53870422514751
2022-11-03,57.31357995630528
2022-11-04,54.96877567921574
2022-11-05,54.78076854281226
2022-11-06,56.2881324951156
2022-11-07,57.25388459203995
2022-11-08,59.86041519678583
2022-11-09,77.35051848185775
2022-11-10,105.06911314409327
2022-11-11,89.51274085159262
2022-11-12,94.7513906551261
2022-11-13,93.32356188955411
2022-11-14,96.62198888830386
2022-11-15,89.42596712215321
2022-11-16,83.24507382637051
2022-11-17,87.76335937717421
2022-11-18,81.30457252282048
2022-11-19,79.26208693561797
2022-11-20,76.86081967354117
2022-11-21,86.77613774225095
2022-11-22,87.42765923043603
2022-11-23,85.429401416275
2022-11-24,80.10924096751214
2022-11-25,76.86499858912742
2022-11-26,69.98054997543817
2022-11-27,70.26943266990688
2022-11-28,71.8723525209509
2022-11-29,73.32463644477514
2022-11-30,70.03679780605442
2022-12-01,69.63071212647998
2022-12-02,65.54712908862862
2022-12-03,62.85597613453696
2022-12-04,65.0979880659764
2022-12-05,65.6786602588184
2022-12-06,63.65227280792022
2022-12-07,63.55864041470526
2022-12-08,65.93543541472181
2022-12-09,61.111469935137706
2022-12-10,65.15275765464617
2022-12-11,65.27615081032594
2022-12-12,67.70432991005877
2022-12-13,66.81310530045887
2022-12-14,65.25409509067227
2022-12-15,60.12165457056169
2022-12-16,62.896064340688476
2022-12-17,68.76590728829089
2022-12-18,67.48383040627543
2022-12-19,71.24367097464291
2022-12-20,68.6451909293037
2022-12-21,64.68688309725412
2022-12-22,63.469079350181026
2022-12-23,61.626523581920914
2022-12-24,59.194534023051425
2022-12-25,57.85223364150469
2022-12-26,58.953582080810975
2022-12-27,57.21270327336841
2022-12-28,58.100964302892535
2022-12-29,61.64331401895296
2022-12-30,58.66167813547679
2022-12-31,54.11031245321365
2023-01-01,51.93795549002888
2023-01-02,50.32630163326852
2023-01-03,52.59196010117066
2023-01-04,51.6083796477649
2023-01-05,48.59370793907757
2023-01-06,47.06222322109966
2023-01-07,45.70788860286063
2023-01-08,44.36581749752978
2023-01-09,45.821500781529394
2023-01-10,47.146701653375466
2023-01-11,47.96823809775897
2023-01-12,50.29031636968436
2023-01-13,54.322891377743346
2023-01-14,63.41420136864099
2023-01-15,75.61807026056503
2023-01-16,71.74181856938294
2023-01-17,67.63152888907126
2023-01-18,65.77253424960615
2023-01-19,65.76092174105536
2023-01-20,59.90884202944861
2023-01-21,61.68954556829937
2023-01-22,67.90017580824171
2023-01-23,64.54896271797371
2023-01-24,67.4489947305633
2023-01-25,64.06720577059643
2023-01-26,63.69293918959882
2023-01-27,59.823264112329525
2023-01-28,58.110050034813376
2023-01-29,57.39548501169386
2023-01-30,61.079321787783826
2023-01-31,58.69046762497303
2023-02-01,60.933931428288886
2023-02-02,59.938656767114516
2023-02-03,59.70005110686593
2023-02-04,55.95189590476749
2023-02-05,56.5109856964682
2023-02-06,57.69532433640826
2023-02-07,56.93037974896007
2023-02-08,55.73488043708258
2023-02-09,55.452698506618106
2023-02-10,55.14876013762553
2023-02-11,51.723521606758496
2023-02-12,49.95621879325821
2023-02-13,49.76325364958235
2023-02-14,53.11290984742144
2023-02-15,51.444665597712344
2023-02-16,55.1633860007134
2023-02-17,61.30855210247662
2023-02-18,63.332290338975625
2023-02-19,61.37125660701177
2023-02-20,62.30456638451106
2023-02-21,63.161003921396144
2023-02-22,63.81163062895282
2023-02-23,59.135613448915855
2023-02-24,57.03419666335002
2023-02-25,52.44709899005734
2023-02-26,52.13490040749353
2023-02-27,52.92328952815316
2023-02-28,52.40675468856492
2023-03-01,52.17606170750497
2023-03-02,56.04837119979109
2023-03-03,55.89851750895679
2023-03-04,54.047647081376184
2023-03-05,54.25673211392653
2023-03-06,52.82772979419445
2023-03-07,53.77041610768282
2023-03-08,53.585169760309924
2023-03-09,52.675383881228846
2023-03-10,56.69758130198388
2023-03-11,56.9301753368894
2023-03-12,63.38685744582831
